36 scenes, 16.7 s each, FONT loads for both layers every frame, snapshots streaming
ok    graphics-1bpp-16       rows 240989, late 0, merged 0; latency max 14295 (36% spare), 99.9% 14207, mean 6797; core 1 half 9506, core 0 10336, split 133; latch isr max 4205; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-1bpp-16-det   rows 241145, late 0, merged 0; latency max 16117 (28% spare), 99.9% 15999, mean 6940; core 1 half 11256, core 0 12148, split 135; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-1bpp-32       rows 241048, late 0, merged 0; latency max 15902 (29% spare), 99.9% 15487, mean 7349; core 1 half 10579, core 0 11930, split 128; latch isr max 4203; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-1bpp-32-det   rows 242244, late 0, merged 0; latency max 17774 (21% spare), 99.9% 17663, mean 7645; core 1 half 12299, core 0 13778, split 131; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-2bpp-16       rows 241898, late 0, merged 0; latency max 15999 (28% spare), 99.9% 15871, mean 8192; core 1 half 11181, core 0 12008, split 127; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-2bpp-16-det   rows 242070, late 0, merged 0; latency max 17901 (20% spare), 99.9% 17791, mean 8319; core 1 half 13000, core 0 13919, split 127; latch isr max 4203; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-2bpp-32       rows 242108, late 0, merged 0; latency max 17729 (21% spare), 99.9% 17663, mean 8888; core 1 half 12310, core 0 13721, split 128; latch isr max 4203; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-2bpp-32-det   rows 241835, late 0, merged 0; latency max 19597 (12% spare), 99.9% 19583, mean 9143; core 1 half 14110, core 0 15631, split 128; latch isr max 4203; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-4bpp-16       rows 241629, late 0, merged 0; latency max 15959 (29% spare), 99.9% 15871, mean 8095; core 1 half 11162, core 0 11971, split 127; latch isr max 4205; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-4bpp-16-det   rows 241437, late 0, merged 0; latency max 17871 (20% spare), 99.9% 17791, mean 8221; core 1 half 12933, core 0 13908, split 127; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
ok    graphics-4bpp-32       rows 242068, late 0, merged 0; latency max 17701 (21% spare), 99.9% 17663, mean 8800; core 1 half 12297, core 0 13707, split 128; latch isr max 4202; 112 snapshots, 0 rows wrong, 0 late, 0 stale state
