36 scenes, 5 s each, FONT loads for both layers every frame
ok    graphics-1bpp-16       rows 71988, late 0, merged 0; latency max 13941 (38% spare), 99.9% 13951, mean 6750; core 1 half 9473, core 0 10328, split 135; latch isr max 4156
ok    graphics-1bpp-16-det   rows 71987, late 0, merged 0; latency max 15714 (30% spare), 99.9% 15743, mean 6874; core 1 half 11160, core 0 12141, split 135; latch isr max 4095
ok    graphics-1bpp-32       rows 71971, late 0, merged 0; latency max 15475 (31% spare), 99.9% 15359, mean 7272; core 1 half 10568, core 0 11879, split 128; latch isr max 4096
ok    graphics-1bpp-32-det   rows 71988, late 0, merged 0; latency max 17322 (23% spare), 99.9% 17279, mean 7565; core 1 half 12312, core 0 13727, split 130; latch isr max 4096
ok    graphics-2bpp-16       rows 71972, late 0, merged 0; latency max 15582 (30% spare), 99.9% 15615, mean 8125; core 1 half 11146, core 0 12013, split 127; latch isr max 4095
ok    graphics-2bpp-16-det   rows 71969, late 0, merged 0; latency max 17494 (22% spare), 99.9% 17535, mean 8252; core 1 half 13002, core 0 13910, split 127; latch isr max 4094
ok    graphics-2bpp-32       rows 71966, late 0, merged 0; latency max 17303 (23% spare), 99.9% 17279, mean 8819; core 1 half 12270, core 0 13712, split 128; latch isr max 4094
ok    graphics-2bpp-32-det   rows 71971, late 0, merged 0; latency max 19184 (14% spare), 99.9% 19199, mean 9078; core 1 half 14105, core 0 15585, split 128; latch isr max 4095
ok    graphics-4bpp-16       rows 71971, late 0, merged 0; latency max 15554 (30% spare), 99.9% 15487, mean 8026; core 1 half 11090, core 0 11979, split 127; latch isr max 4095
ok    graphics-4bpp-16-det   rows 71966, late 0, merged 0; latency max 17491 (22% spare), 99.9% 17407, mean 8153; core 1 half 12886, core 0 13864, split 127; latch isr max 4096
ok    graphics-4bpp-32       rows 71977, late 0, merged 0; latency max 17304 (23% spare), 99.9% 17279, mean 8730; core 1 half 12297, core 0 13690, split 128; latch isr max 4096
ok    graphics-4bpp-32-det   rows 71958, late 0, merged 0; latency max 19166 (14% spare), 99.9% 19199, mean 8983; core 1 half 14101, core 0 15568, split 128; latch isr max 4096
